# X TTK_01              TTK_02              TTK_03              TKK_04              TKK_10
0.1 0.4737761087823576  0.4713061723228383  0.4747705737491359  0.48339861353979324 0.47380160265266646
0.2 0.4697020328599276  0.4873347320070669  0.4880144424488885  0.5009553747534516  0.4845104871102921
0.3 0.47649049517776604 0.4957416817691861  0.4970862470862471  0.509989453771863   0.4975320762996456
0.4 0.4746732847701831  0.4925056052979345  0.4940146418678274  0.5016291228471499  0.4937023710759698
0.5 0.47026614121409704 0.49134129377386493 0.4940323828799333  0.500343429352967   0.4947465383289215
0.6 0.469131876684323   0.4827360765988925  0.48906695156695157 0.4946974801239726  0.4887433034980664
0.7 0.46529878819894666 0.4763159499847514  0.48628588513222926 0.4896648980514067  0.4877960822144436
0.8 0.462576247333334   0.47491256166091866 0.4837994054219331  0.4882071974165617  0.4837739740705025
0.9 0.4619601367843946  0.4696764553811639  0.48013213979844777 0.4806976089645828  0.47495125438710517
1.0 0.45837017694394167 0.4689618456078084  0.4777592164481046  0.47671305637670414 0.4708695250076702
