# X     Bank_01             Bank_02             Bank_03             Bank_04             Bank_05             Bank_06
0.1     0.3647029665723984  0.36145037739239827 0.40625688477638244 0.4136762681256594  0.4156960816964224  0.3765432713369708
0.2     0.3872130048600636  0.3905513299003165  0.4186445515887412  0.42740426987482516 0.43997680262903544 0.395316408039155
0.3     0.4047715775912521  0.40429999537578876 0.4249370163585643  0.4356211344277434  0.4503229131924441  0.42396565623343274
0.4     0.4167784398518941  0.41536838624338623 0.42994573411083503 0.4395932506594706  0.44612825725374233 0.4322486494225971
0.5     0.4163412794006698  0.4148241639142228  0.4307259292954383  0.434658794722779   0.45063373663500905 0.43887142130768186
0.6     0.4187781494206285  0.4178131403522424  0.43157023314091375 0.43650745360511106 0.44147846529663587 0.4551384005233461
0.7     0.41965047667428457 0.42645996744880665 0.4277872336633487  0.43582674266189486 0.4397513780414871  0.4593248439865151
0.8     0.41671561592735085 0.4280873885831542  0.425510576901568   0.4339880927795512  0.4409468438538206  0.462685262915016
0.9     0.419200808742356   0.41903970860051837 0.42948940694448046 0.43388580865872356 0.4353963203967084  0.45587020322492017
1.0     0.41938454526435337 0.4178131403522424  0.4280183551635035  0.4275355819561254  0.4331021163880547  0.45566131375661123
