# X TTK_01              TTK_02              TTK_03              TKK_04              TKK_05              TKK_06
0.1 0.4046395752561899  0.3818545728022176  0.3948400580254955  0.397884286203355   0.408381361341964   0.42366202892330435
0.2 0.44383336839890597 0.44604103399748163 0.46073737614242016 0.4689534759927606  0.47303448233794276 0.4960832810712667
0.3 0.46247333554895587 0.4706507442359261  0.4928905515195622  0.4986980495070795  0.5045810252074685  0.5197660504229278
0.4 0.46871450576658125 0.4727731092436974  0.4856218949348855  0.49976525413413553 0.5005364788642856  0.5119687541374288
0.5 0.4733337919027707  0.4743686868686869  0.48120201994796424 0.4962419037355532  0.4945956745858778  0.5144352559405423
0.6 0.47196118488253325 0.46961577144468897 0.47976623371893784 0.5005013658359789  0.49687398291248136 0.508661573104366
0.7 0.4678099664999228  0.4741758261442779  0.4788797195582795  0.5029835144493565  0.4980072525818331  0.507351219680146
0.8 0.46925778666129825 0.47191838679633524 0.4785534332390532  0.49971122466551776 0.4948334205746928  0.5058318431524174
0.9 0.4669796631670694  0.46815223881370827 0.47313056558902317 0.4926000374660333  0.4936141624065997  0.5015354291826104
1.0 0.4610303509095529  0.4691436010158134  0.4782190239279791  0.49122294806758876 0.49108688787919363 0.5012728738751553
